# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.project.serializers.load.ms,1757676741374000000,1757676801362000000,10
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1757676741374000000,1757676801362000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1757676741374000000,1757676801362000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1757676741374000000,1757676801362000000,1
jps.storage.jps.conf.reader.load.component.ms,1757676741374000000,1757676801362000000,2
workspaceModel.moduleBridge.before.changed.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1757676741374000000,1757676801362000000,0
jps.save.changed.project.entities.ms,1757676741374000000,1757676801362000000,0
jps.global.get.library.ms,1757676741374000000,1757676801362000000,0
workspaceModel.global.updates.ms,1757676741374000000,1757676801362000000,0
jps.module.iml.entities.serializer.load.entities.ms,1757676741374000000,1757676801362000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1757676741374000000,1757676801362000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1757676741374000000,1757676801362000000,0
jps.global.handle.before.change.events.ms,1757676741374000000,1757676801362000000,0
workspaceModel.global.apply.state.to.project.ms,1757676741374000000,1757676801362000000,17
workspaceModel.sync.entities.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1757676741374000000,1757676801362000000,1
jps.project.serializers.save.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1757676741374000000,1757676801362000000,0
jps.global.initialize.library.bridges.after.loading.ms,1757676741374000000,1757676801362000000,0
jps.facet.change.listener.before.change.events.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1757676741374000000,1757676801362000000,0
workspaceModel.load.cache.metadata.from.file.ms,1757676741374000000,1757676801362000000,11
workspaceModel.moduleManagerBridge.newModule.ms,1757676741374000000,1757676801362000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1757676741374000000,1757676801362000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1757676741374000000,1757676801362000000,17
jps.reload.project.entities.ms,1757676741374000000,1757676801362000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1757676741374000000,1757676801362000000,5
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.nativeBytesInUse,1757676741374000000,1757676801362000000,16384
FilePageCacheLockFree.totalPagesWritten,1757676741374000000,1757676801362000000,0
StorageLockContext.competingThreads.avg,1757676741374000000,1757676801362000000,0.0
FilePageCacheLockFree.totalPagesReadMs,1757676741374000000,1757676801362000000,0
DirectByteBufferAllocator.disposed,1757676741374000000,1757676801362000000,0
FilePageCache.totalPageDisposalsUs,1757676741374000000,1757676801362000000,0
StreamlinedBlobStorage.recordsRelocated,1757676741374000000,1757676801362000000,0
StorageLockContext.competingThreads.max,1757676741374000000,1757676801362000000,0
FilePageCache.disposedBuffers,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1757676741374000000,1757676801362000000,34
DirectByteBufferAllocator.misses,1757676741374000000,1757676801362000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1757676741374000000,1757676801362000000,0
FilePageCache.maxCacheSizeInBytes,1757676741374000000,1757676801362000000,229654528
FilePageCache.pageHits,1757676741374000000,1757676801362000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1757676741374000000,1757676801362000000,0
MappedFileStorage.totalPagesMapped,1757676741374000000,1757676801362000000,15
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalPagesHandedOver,1757676741374000000,1757676801362000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757676741374000000,1757676801362000000,229670912
FilePageCacheLockFree.totalPagesWriteMs,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1757676741374000000,1757676801362000000,120
FilePageCache.pageFastCacheHits,1757676741374000000,1757676801362000000,1
DirectByteBufferAllocator.hits,1757676741374000000,1757676801362000000,0
FilePageCache.maxRegisteredFiles,1757676741374000000,1757676801362000000,544
FilePageCacheLockFree.totalNativeBytesReclaimed,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalBytesWritten,1757676741374000000,1757676801362000000,0
FilePageCache.pageLoads,1757676741374000000,1757676801362000000,0
FilePageCacheLockFree.totalPagesRequested,1757676741374000000,1757676801362000000,0
FilePageCache.totalPageLoadsUs,1757676741374000000,1757676801362000000,0
MappedFileStorage.storages,1757676741374000000,1757676801362000000,15
FilePageCacheLockFree.totalHeapBytesAllocated,1757676741374000000,1757676801362000000,0
